2022-04-10 00:02:14.305 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-04-10 00:02:14.344 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@12a94400, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6a47b187, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@2049a9c1, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1ef6d34c, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@46271dd6, org.springframework.test.context.support.DirtiesContextTestExecutionListener@11bb571c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7c51f34b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5495333e, org.springframework.test.context.event.EventPublishingTestExecutionListener@2a225dd7, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@61eaec38, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@125290e5, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6fa34d52, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@57576994, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@616ac46a, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@67b9b51a]
2022-04-10 00:02:14.867 [main] INFO  com.example.ShareBikeWebSpringApplicationTests - Starting ShareBikeWebSpringApplicationTests using Java 1.8.0_144 on DESKTOP-MI840OR with PID 24048 (started by 13241 in D:\fordeps\pros_one\share_bike_web_spring)
2022-04-10 00:02:14.869 [main] INFO  com.example.ShareBikeWebSpringApplicationTests - No active profile set, falling back to default profiles: default
2022-04-10 00:02:16.276 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2022-04-10 00:02:16.577 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-04-10 00:02:17.822 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2022-04-10 00:02:18.160 [main] INFO  com.example.ShareBikeWebSpringApplicationTests - Started ShareBikeWebSpringApplicationTests in 3.744 seconds (JVM running for 5.203)
2022-04-10 00:02:19.184 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-04-10 00:05:03.182 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.ShareBikeWebSpringApplicationTests], using SpringBootContextLoader
2022-04-10 00:05:03.190 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.ShareBikeWebSpringApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-04-10 00:05:03.192 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.ShareBikeWebSpringApplicationTests]: ShareBikeWebSpringApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-04-10 00:05:03.442 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.ShareBikeWebSpringApplication for test class com.example.ShareBikeWebSpringApplicationTests
2022-04-10 00:05:03.675 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-04-10 00:05:03.793 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4fbe37eb, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@12a94400, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6a47b187, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2049a9c1, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1ef6d34c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@46271dd6, org.springframework.test.context.transaction.TransactionalTestExecutionListener@11bb571c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7c51f34b, org.springframework.test.context.event.EventPublishingTestExecutionListener@5495333e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2a225dd7, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@61eaec38, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@125290e5, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6fa34d52, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@57576994, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@616ac46a]
2022-04-10 00:05:04.707 [main] INFO  com.example.ShareBikeWebSpringApplicationTests - Starting ShareBikeWebSpringApplicationTests using Java 1.8.0_144 on DESKTOP-MI840OR with PID 1768 (started by 13241 in D:\fordeps\pros_one\share_bike_web_spring)
2022-04-10 00:05:04.713 [main] INFO  com.example.ShareBikeWebSpringApplicationTests - No active profile set, falling back to default profiles: default
2022-04-10 00:05:06.399 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2022-04-10 00:05:06.861 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-04-10 00:05:08.871 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2022-04-10 00:05:09.035 [main] INFO  com.example.ShareBikeWebSpringApplicationTests - Started ShareBikeWebSpringApplicationTests in 5.112 seconds (JVM running for 7.155)
2022-04-10 00:05:10.387 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-04-10 00:06:54.580 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.ShareBikeWebSpringApplicationTests], using SpringBootContextLoader
2022-04-10 00:06:54.587 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.ShareBikeWebSpringApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
